Date,Cow,Predicted Body Weight (kg)
2022-02-24,Cow 28,463.82282332009135
2022-02-25,Cow 28,463.82282332009135
2022-02-26,Cow 28,463.82282332009135
2022-02-27,Cow 28,463.82282332009135
2022-02-28,Cow 28,463.82282332009135
2022-03-01,Cow 28,463.82282332009135
2022-02-15,Cow 29,461.1834525647816
2022-02-16,Cow 29,461.1834525647816
2022-02-17,Cow 29,461.1834525647816
2022-02-18,Cow 29,461.1834525647816
2022-02-19,Cow 29,461.1834525647816
2022-02-20,Cow 29,461.1834525647816
2022-02-21,Cow 29,461.1834525647816
2022-02-22,Cow 29,461.1834525647816
2022-02-23,Cow 29,461.1834525647816
2022-02-24,Cow 29,461.1834525647816
2022-02-25,Cow 29,461.1834525647816
2022-02-26,Cow 29,461.1834525647816
2022-02-27,Cow 29,461.1834525647816
2022-02-28,Cow 29,461.1834525647816
2022-03-01,Cow 29,461.1834525647816
2022-02-15,Cow 30,398.172006734028
2022-02-16,Cow 30,398.172006734028
2022-02-17,Cow 30,398.172006734028
2022-02-18,Cow 30,398.172006734028
2022-02-19,Cow 30,398.172006734028
2022-02-20,Cow 30,398.172006734028
2022-02-21,Cow 30,398.172006734028
2022-02-22,Cow 30,398.172006734028
2022-02-23,Cow 30,398.172006734028
2022-02-24,Cow 30,398.172006734028
2022-02-25,Cow 30,398.172006734028
2022-02-26,Cow 30,398.172006734028
2022-02-27,Cow 30,398.172006734028
2022-02-28,Cow 30,398.172006734028
2022-03-01,Cow 30,398.172006734028
2022-02-15,Cow 31,458.80835369500096
2022-02-16,Cow 31,458.80835369500096
2022-02-17,Cow 31,458.80835369500096
2022-02-18,Cow 31,458.80835369500096
2022-02-19,Cow 31,458.80835369500096
2022-02-20,Cow 31,458.80835369500096
2022-02-21,Cow 31,458.80835369500096
2022-02-22,Cow 31,458.80835369500096
2022-02-23,Cow 31,458.80835369500096
2022-02-24,Cow 31,458.80835369500096
2022-02-25,Cow 31,458.80835369500096
2022-02-26,Cow 31,458.80835369500096
2022-02-27,Cow 31,458.80835369500096
2022-02-28,Cow 31,458.80835369500096
2022-03-01,Cow 31,458.80835369500096
2022-02-15,Cow 32,455.1391176238574
2022-02-16,Cow 32,455.1391176238574
2022-02-17,Cow 32,455.1391176238574
2022-02-18,Cow 32,455.1391176238574
2022-02-19,Cow 32,455.1391176238574
2022-02-20,Cow 32,455.1391176238574
2022-02-21,Cow 32,455.1391176238574
2022-02-22,Cow 32,455.1391176238574
2022-02-23,Cow 32,455.1391176238574
2022-02-24,Cow 32,455.1391176238574
2022-02-25,Cow 32,455.1391176238574
2022-02-26,Cow 32,455.1391176238574
2022-02-27,Cow 32,455.1391176238574
2022-02-28,Cow 32,455.1391176238574
2022-03-01,Cow 32,455.1391176238574
2022-02-15,Cow 33,444.76940807440036
2022-02-16,Cow 33,444.76940807440036
2022-02-17,Cow 33,444.76940807440036
2022-02-18,Cow 33,444.76940807440036
2022-02-19,Cow 33,444.76940807440036
2022-02-20,Cow 33,444.76940807440036
2022-02-21,Cow 33,444.76940807440036
2022-02-22,Cow 33,444.76940807440036
2022-02-23,Cow 33,444.76940807440036
2022-02-24,Cow 33,444.76940807440036
2022-02-25,Cow 33,444.76940807440036
2022-02-26,Cow 33,444.76940807440036
2022-02-27,Cow 33,444.76940807440036
2022-02-28,Cow 33,444.76940807440036
2022-03-01,Cow 33,444.76940807440036
2022-02-15,Cow 34,459.8039033372189
2022-02-16,Cow 34,459.8039033372189
2022-02-17,Cow 34,459.8039033372189
2022-02-18,Cow 34,459.8039033372189
2022-02-19,Cow 34,459.8039033372189
2022-02-20,Cow 34,459.8039033372189
2022-02-21,Cow 34,459.8039033372189
2022-02-22,Cow 34,459.8039033372189
2022-02-23,Cow 34,459.8039033372189
2022-02-24,Cow 34,459.8039033372189
2022-02-25,Cow 34,459.8039033372189
2022-02-26,Cow 34,459.8039033372189
2022-02-27,Cow 34,459.8039033372189
2022-02-28,Cow 34,459.8039033372189
2022-03-01,Cow 34,459.8039033372189
2022-02-15,Cow 35,444.306545333372
2022-02-16,Cow 35,444.306545333372
2022-02-17,Cow 35,444.306545333372
2022-02-18,Cow 35,444.306545333372
2022-02-19,Cow 35,444.306545333372
2022-02-20,Cow 35,444.306545333372
2022-02-21,Cow 35,444.306545333372
2022-02-22,Cow 35,444.306545333372
2022-02-23,Cow 35,444.306545333372
2022-02-24,Cow 35,444.306545333372
2022-02-25,Cow 35,444.306545333372
2022-02-26,Cow 35,444.306545333372
2022-02-27,Cow 35,444.306545333372
2022-02-28,Cow 35,444.306545333372
2022-03-01,Cow 35,444.306545333372
2022-02-15,Cow 36,481.887388866049
2022-02-16,Cow 36,481.887388866049
2022-02-17,Cow 36,481.887388866049
2022-02-18,Cow 36,481.887388866049
2022-02-19,Cow 36,481.887388866049
2022-02-20,Cow 36,481.887388866049
2022-02-21,Cow 36,481.887388866049
2022-02-22,Cow 36,481.887388866049
2022-02-23,Cow 36,481.887388866049
2022-02-24,Cow 36,481.887388866049
2022-02-25,Cow 36,481.887388866049
2022-02-26,Cow 36,481.887388866049
2022-02-27,Cow 36,481.887388866049
2022-02-28,Cow 36,481.887388866049
2022-03-01,Cow 36,481.887388866049
2022-02-15,Cow 37,453.30199195772724
2022-02-16,Cow 37,453.30199195772724
2022-02-17,Cow 37,453.30199195772724
2022-02-18,Cow 37,453.30199195772724
2022-02-19,Cow 37,453.30199195772724
2022-02-20,Cow 37,453.30199195772724
2022-02-21,Cow 37,453.30199195772724
2022-02-22,Cow 37,453.30199195772724
2022-02-23,Cow 37,453.30199195772724
2022-02-24,Cow 37,453.30199195772724
2022-02-25,Cow 37,453.30199195772724
2022-02-26,Cow 37,453.30199195772724
2022-02-27,Cow 37,453.30199195772724
2022-02-28,Cow 37,453.30199195772724
2022-03-01,Cow 37,453.30199195772724
2022-02-15,Cow 38,423.37414111228065
2022-02-16,Cow 38,423.37414111228065
2022-02-17,Cow 38,423.37414111228065
2022-02-18,Cow 38,423.37414111228065
2022-02-19,Cow 38,423.37414111228065
2022-02-20,Cow 38,423.37414111228065
2022-02-21,Cow 38,423.37414111228065
2022-02-22,Cow 38,423.37414111228065
2022-02-23,Cow 38,423.37414111228065
2022-02-24,Cow 38,423.37414111228065
2022-02-25,Cow 38,423.37414111228065
2022-02-26,Cow 38,423.37414111228065
2022-02-27,Cow 38,423.37414111228065
2022-02-28,Cow 38,423.37414111228065
2022-03-01,Cow 38,423.37414111228065
2022-02-15,Cow 39,470.7210053655065
2022-02-16,Cow 39,470.7210053655065
2022-02-17,Cow 39,470.7210053655065
2022-02-18,Cow 39,470.7210053655065
2022-02-19,Cow 39,470.7210053655065
2022-02-20,Cow 39,470.7210053655065
2022-02-21,Cow 39,470.7210053655065
2022-02-22,Cow 39,470.7210053655065
2022-02-23,Cow 39,470.7210053655065
2022-02-24,Cow 39,470.7210053655065
2022-02-25,Cow 39,470.7210053655065
2022-02-26,Cow 39,470.7210053655065
2022-02-27,Cow 39,470.7210053655065
2022-02-28,Cow 39,470.7210053655065
2022-03-01,Cow 39,470.7210053655065
2022-02-15,Cow 40,448.47788197694786
2022-02-16,Cow 40,448.47788197694786
2022-02-17,Cow 40,448.47788197694786
2022-02-18,Cow 40,448.47788197694786
2022-02-19,Cow 40,448.47788197694786
2022-02-20,Cow 40,448.47788197694786
2022-02-21,Cow 40,448.47788197694786
2022-02-22,Cow 40,448.47788197694786
2022-02-23,Cow 40,448.47788197694786
2022-02-24,Cow 40,448.47788197694786
2022-02-25,Cow 40,448.47788197694786
2022-02-26,Cow 40,448.47788197694786
2022-02-27,Cow 40,448.47788197694786
2022-02-28,Cow 40,448.47788197694786
2022-03-01,Cow 40,448.47788197694786
2022-02-15,Cow 41,436.8265521754807
2022-02-16,Cow 41,436.8265521754807
2022-02-17,Cow 41,436.8265521754807
2022-02-18,Cow 41,436.8265521754807
2022-02-19,Cow 41,436.8265521754807
2022-02-20,Cow 41,436.8265521754807
2022-02-21,Cow 41,436.8265521754807
2022-02-22,Cow 41,436.8265521754807
2022-02-23,Cow 41,436.8265521754807
2022-02-24,Cow 41,436.8265521754807
2022-02-25,Cow 41,436.8265521754807
2022-02-26,Cow 41,436.8265521754807
2022-02-27,Cow 41,436.8265521754807
2022-02-28,Cow 41,436.8265521754807
2022-03-01,Cow 41,436.8265521754807
2022-02-15,Cow 42,467.91788371132486
2022-02-16,Cow 42,467.91788371132486
2022-02-17,Cow 42,467.91788371132486
2022-02-18,Cow 42,467.91788371132486
2022-02-19,Cow 42,467.91788371132486
2022-02-20,Cow 42,467.91788371132486
2022-02-21,Cow 42,467.91788371132486
2022-02-22,Cow 42,467.91788371132486
2022-02-23,Cow 42,467.91788371132486
2022-02-24,Cow 42,467.91788371132486
2022-02-25,Cow 42,467.91788371132486
2022-02-26,Cow 42,467.91788371132486
2022-02-27,Cow 42,467.91788371132486
2022-02-28,Cow 42,467.91788371132486
2022-03-01,Cow 42,467.91788371132486
2022-02-15,Cow 43,465.833622789087
2022-02-16,Cow 43,465.833622789087
2022-02-17,Cow 43,465.833622789087
2022-02-18,Cow 43,465.833622789087
2022-02-19,Cow 43,465.833622789087
2022-02-20,Cow 43,465.833622789087
2022-02-21,Cow 43,465.833622789087
2022-02-22,Cow 43,465.833622789087
2022-02-23,Cow 43,465.833622789087
2022-02-24,Cow 43,465.833622789087
2022-02-25,Cow 43,465.833622789087
2022-02-26,Cow 43,465.833622789087
2022-02-27,Cow 43,465.833622789087
2022-02-28,Cow 43,465.833622789087
2022-03-01,Cow 43,465.833622789087
2022-02-15,Cow 44,440.7163825946404
2022-02-16,Cow 44,440.7163825946404
2022-02-17,Cow 44,440.7163825946404
2022-02-18,Cow 44,440.7163825946404
2022-02-19,Cow 44,440.7163825946404
2022-02-20,Cow 44,440.7163825946404
2022-02-21,Cow 44,440.7163825946404
2022-02-22,Cow 44,440.7163825946404
2022-02-23,Cow 44,440.7163825946404
2022-02-24,Cow 44,440.7163825946404
2022-02-25,Cow 44,440.7163825946404
2022-02-26,Cow 44,440.7163825946404
2022-02-27,Cow 44,440.7163825946404
2022-02-28,Cow 44,440.7163825946404
2022-03-01,Cow 44,440.7163825946404
2022-02-15,Cow 45,439.63769688584676
2022-02-16,Cow 45,439.63769688584676
2022-02-17,Cow 45,439.63769688584676
2022-02-18,Cow 45,439.63769688584676
2022-02-19,Cow 45,439.63769688584676
2022-02-20,Cow 45,439.63769688584676
